name,lat,lng,municipality,ngbe_type,ngbe_code,source,date,arcgis_objectid
Abanillas,43.346131,-4.461182,VAL DE SAN VICENTE,NGBE,2.1.4,,,13303
Abaño,43.361878,-4.390808,SAN VICENTE DE LA BARQUERA,NGBE,2.1.4,,,13304
Abiada,43.018310,-4.290526,HERMANDAD DE CAMPOO DE SUSO,NGBE,2.1.4,,,13305
Abionzo,43.245300,-3.813598,VILLACARRIEDO,NGBE,2.1.4,,,13306
Acereda,43.231872,-3.933777,SANTIURDE DE TORANZO,NGBE,2.1.4,,,13307
Adal-Treto,43.396117,-3.475094,BÁRCENA DE CICERO,NGBE,2.1.4,,,13308
Adino,43.343612,-3.336212,GURIEZO,NGBE,2.1.9,,,4586
Aés,43.283874,-3.956421,PUENTE VIESGO,NGBE,2.1.4,,,13310
Agüera,43.296325,-3.256410,GURIEZO,NGBE,2.1.4,,,13311
Agüero,43.414304,-3.723995,MARINA DE CUDEYO,NGBE,2.1.4,,,13312
Ahedo,43.336730,-3.390807,AMPUERO,NGBE,2.1.9,,,4606
Aja,43.200073,-3.522581,SOBA,NGBE,2.1.4,,,13313
Ajanedo,43.261291,-3.711791,MIERA,NGBE,2.1.9,,,4607
Ajo,43.479203,-3.612867,BAREYO,NGBE,2.1.4,,,13315
Ajo,43.479203,-3.612867,BAREYO,NGBE,2.1.3,,,13929
Alar,43.110901,-3.804810,SAN PEDRO DEL ROMERAL,NGBE,2.1.9,https://pares.cultura.gob.es/catastro/servlets/ServletController?mapas=0&accion=1&volver=0&txtBusqueda=Alar&tipo=0&tipolocal=-1&provact=39&Buscar=Buscar,1749-1753,588
Alceda,43.193909,-3.917786,CORVERA DE TORANZO,NGBE,2.1.4,,,13317
Aldano,43.131982,-3.870868,SAN PEDRO DEL ROMERAL,NGBE,2.1.9,,,4621
Aldea de Ebro,42.905884,-4.030213,VALDEPRADO DEL RÍO,NGBE,2.1.4,,,13318
Aldueso,43.017883,-4.088012,CAMPOO DE ENMEDIO,NGBE,2.1.4,,,13319
Aliezo,43.172123,-4.600742,CILLORIGO DE LIÉBANA,NGBE,2.1.9,,,4624
Alisas,43.297895,-3.657833,Varios o fuera de Cantabria,NGBE,2.1.9,,,591
Alisas,43.354492,-3.410399,AMPUERO,NGBE,2.1.9,,,592
Allén del Hoyo,42.929688,-3.882814,VALDERREDIBLE,NGBE,2.1.4,,,13320
Allende,43.215122,-4.596977,CILLORIGO DE LIÉBANA,NGBE,2.1.6,https://pares.cultura.gob.es/catastro/servlets/ServletController?accion=4&opcionV=3&orden=0&loc=13953&pageNum=1,1749-1753,4625
Allendelagua,43.395874,-3.247007,CASTRO-URDIALES,NGBE,2.1.9,,,4626
Aloños,43.229309,-3.874512,VILLACARRIEDO,NGBE,2.1.4,,,13321
Ambrosero,43.417113,-3.549678,BÁRCENA DE CICERO,NGBE,2.1.4,,,13322
Ampuero,43.342430,-3.417350,AMPUERO,NGBE,2.1.9,,,613
Ampuero,43.342430,-3.417350,AMPUERO,NGBE,2.1.3,,,13937
Anaz,43.362486,-3.753782,MEDIO CUDEYO,NGBE,2.1.4,,,13324
Ancillo,43.449889,-3.491083,ARGOÑOS,NGBE,2.1.9,,,614
Anero,43.396910,-3.650814,RIBAMONTÁN AL MONTE,NGBE,2.1.4,,,13325
Angostina,43.335509,-3.325684,GURIEZO,NGBE,2.1.9,,,4773
Angustina,43.318908,-3.709104,RIOTUERTO,NGBE,2.1.9,,,616
Aniezo,43.144131,-4.536823,CABEZÓN DE LIÉBANA,NGBE,2.1.4,,,13327
Aradillos,43.030090,-4.133789,CAMPOO DE ENMEDIO,NGBE,2.1.4,,,13329
Arantiones,42.823304,-3.970583,VALDERREDIBLE,NGBE,2.1.4,,,13330
Arca,43.155728,-4.047438,MOLLEDO,Autonómico,2.1.6,,,119445
Arce,43.410094,-3.942384,PIÉLAGOS,NGBE,2.1.4,,,13331
Arcera,42.875306,-4.047486,VALDEPRADO DEL RÍO,NGBE,2.1.4,,,13333
Arenal,43.331114,-3.816589,PENAGOS,NGBE,2.1.4,,,13334
Arenas,43.287903,-4.447083,RIONANSA,NGBE,2.1.4,,,13335
Arenas de Iguña,43.185507,-4.048746,ARENAS DE IGUÑA,NGBE,2.1.9,,,634
Arenas de Iguña,43.185507,-4.048746,ARENAS DE IGUÑA,NGBE,2.1.3,,,13946
Arenillas de Ebro,42.818483,-3.909792,VALDERREDIBLE,NGBE,2.1.4,,,13337
Areños,43.113761,-4.728161,CAMALEÑO,NGBE,2.1.9,,,4796
Argomilla,43.307921,-3.873779,SANTA MARÍA DE CAYÓN,NGBE,2.1.4,,,13338
